n,instance,runs_ok,energy_mean,energy_min,violated_cons_mean,violated_cons_min,tw_violations_mean,feasible_count,var_count,term_count,build_sec_mean,wall_sec_mean
60,n60w20.001,10,586.00,586,0.00,0,0.00,10,1223,24709,2.423,37.89
60,n60w40.001,10,664.00,664,0.00,0,0.00,10,2232,117244,1.233,37.36
60,n60w60.001,10,722.00,722,0.00,0,0.00,10,3226,266016,1.886,38.23
60,n60w80.001,10,606.00,606,0.00,0,0.00,10,4869,721327,3.566,39.86
60,n60w100.001,10,987.70,576,0.70,0,0.00,4,5595,1247481,2.613,38.16
