n,instance,runs_ok,energy_mean,energy_min,violated_cons_mean,violated_cons_min,tw_violations_mean,feasible_count,var_count,term_count,build_sec_mean,wall_sec_mean
20,n20w20.001,10,387.00,387,0.00,0,0.00,10,363,4528,1.625,36.00
40,n40w20.001,10,526.00,524,0.00,0,0.00,10,882,17426,1.951,37.62
60,n60w20.001,10,586.00,586,0.00,0,0.00,10,1223,24709,1.766,38.01
80,n80w20.001,10,729.00,729,0.00,0,0.00,10,1812,46725,2.371,37.91
100,n100w20.001,10,827.00,827,0.00,0,0.00,10,2050,46892,1.940,37.68
150,n150w20.001,10,1034.00,1034,0.00,0,0.00,10,3215,92557,1.886,37.95
